emp_no,first_name,last_name,birth_date,title,from_date,to_date
66530,Dung,Leaver,1/29/1965,Staff,4/4/1998,1/1/9999
66643,Jianhao,Tomescu,1/18/1965,Engineer,8/26/1996,1/1/9999
66702,Deniz,Thibadeau,2/1/1965,Senior Engineer,9/27/1994,1/1/9999
66757,Yonghong,Baig,1/16/1965,Staff,4/10/1999,1/1/9999
66807,Aiman,Rosaz,1/21/1965,Engineer,5/22/1990,1/1/9999
67320,Sadok,Lorys,1/18/1965,Senior Staff,5/10/1987,1/1/9999
67548,Fumitaka,Roohalamini,1/11/1965,Staff,6/27/1998,1/1/9999
67934,Aiman,Gargeya,1/7/1965,Senior Engineer,3/7/1985,1/1/9999
68022,Kristinn,Pearson,1/12/1965,Staff,5/7/1995,6/26/1999
68168,Marl,Thiria,1/14/1965,Staff,3/18/1987,12/31/1996
68263,Fumiko,Bodoff,1/16/1965,Staff,12/19/1991,7/11/1993
68416,Munenori,Debuse,1/27/1965,Senior Engineer,11/8/1990,1/1/9999
68608,Yucai,Seghrouchni,1/26/1965,Senior Engineer,6/9/1989,1/1/9999
68633,Chinhyun,Rassart,1/28/1965,Senior Engineer,7/29/1993,1/1/9999
68648,Jaques,DiGiano,1/25/1965,Technique Leader,4/1/1992,1/1/9999
69052,Shietung,Shrader,1/26/1965,Senior Staff,8/5/1995,1/1/9999
69219,Shuky,Redmiles,1/9/1965,Senior Staff,11/19/1994,1/1/9999
69867,Miyeon,Rothe,1/22/1965,Staff,4/9/1991,1/1/9999
69878,Chinya,Cooke,1/24/1965,Engineer,1/29/1997,1/1/9999
69936,Lalit,Unni,1/23/1965,Assistant Engineer,1/31/1999,1/1/9999
70469,Tru,Miyakawa,1/12/1965,Senior Staff,9/3/1990,1/1/9999
70780,Behnaam,Angelov,1/27/1965,Assistant Engineer,1/29/1995,7/20/1999
70990,Arumugam,Nitta,1/22/1965,Senior Engineer,3/23/1990,1/1/9999
71066,Domenick,Basart,1/27/1965,Senior Staff,1/5/1996,1/1/9999
71141,Sajjad,Vitiello,1/2/1965,Senior Staff,2/17/1992,1/1/9999
71188,Pranjal,Schapiro,1/2/1965,Staff,12/14/1986,1/1/9999
71243,Kinh,Buchter,1/10/1965,Senior Engineer,3/29/1986,1/1/9999
71334,Cathie,Peck,1/15/1965,Senior Engineer,3/4/2001,1/1/9999
71685,Kristinn,Olano,1/1/1965,Senior Engineer,10/3/1989,1/1/9999
71710,Hitomi,Takanami,1/31/1965,Assistant Engineer,12/15/1997,1/1/9999
71745,Adil,Laventhal,1/2/1965,Engineer,5/13/1992,1/1/9999
72190,Sajjad,Waeselynck,1/19/1965,Engineer,9/13/1999,1/1/9999
72194,Feiyu,Siepmann,1/26/1965,Senior Engineer,10/1/1998,1/1/9999
72232,Naraig,Veldwijk,1/10/1965,Senior Engineer,7/10/1989,1/1/9999
72640,Honglan,Hutton,1/24/1965,Senior Engineer,10/4/1993,1/1/9999
72918,Takahira,Szilard,1/22/1965,Staff,1/16/1988,1/1/9999
73076,Froduald,Feldhoffer,1/22/1965,Senior Engineer,3/16/1993,1/1/9999
73233,Shigeo,Merey,1/15/1965,Senior Engineer,7/30/1985,1/1/9999
73516,Qingxiang,Badache,1/14/1965,Senior Engineer,6/25/1989,1/1/9999
73743,Anneke,Bernardeschi,1/15/1965,Engineer,11/1/1999,10/15/2000
73794,Aiichiro,Castellani,1/26/1965,Engineer,8/26/1985,8/19/1987
73903,Bartek,Cappello,1/29/1965,Engineer,7/28/1988,1/2/1993
74200,Holgard,Weiland,1/16/1965,Senior Engineer,9/24/1991,1/1/9999
74237,Jaihie,Vilarrasa,1/29/1965,Engineer,3/3/1992,6/20/2001
74344,Hiroyasu,Provine,2/1/1965,Engineer,11/25/1994,1/1/9999
74598,Kolar,Garigliano,1/7/1965,Senior Staff,5/10/1992,3/7/1999
74668,Masako,Bonifati,1/1/1965,Senior Staff,4/9/1987,1/1/9999
74800,Yuuichi,Conde,1/25/1965,Assistant Engineer,3/8/1989,1/1/9999
75113,Zissis,Birch,1/22/1965,Senior Engineer,8/19/1994,7/15/2000
75354,Shuky,Jakobus,1/11/1965,Senior Engineer,6/16/1986,1/1/9999
75420,Clyde,Vrecion,1/9/1965,Engineer,7/3/1997,9/14/2000
75703,Kyoichi,Erman,1/8/1965,Senior Engineer,7/25/1996,1/1/9999
75760,Jahangir,Radhakrishnan,1/21/1965,Technique Leader,4/19/1991,12/29/1993
75888,Marsal,Otillio,1/31/1965,Staff,1/23/1994,9/16/1999
76178,Chiradeep,Meriste,1/19/1965,Senior Engineer,5/23/1988,6/25/1997
76189,Kolar,Hinsberger,1/2/1965,Senior Engineer,10/20/1986,1/1/9999
76201,Arif,Preusig,1/10/1965,Senior Engineer,4/2/1992,1/1/9999
76417,Parviz,Duclos,1/31/1965,Senior Engineer,12/27/1989,12/31/1993
76598,Keung,Ferriere,1/24/1965,Engineer,5/13/1991,10/8/1995
76640,Tristan,Mitsuhashi,1/2/1965,Senior Engineer,7/13/1994,1/1/9999
76847,Mariusz,Weiland,1/20/1965,Senior Engineer,8/16/1989,11/9/1994
77030,Faiza,Garnham,1/2/1965,Technique Leader,3/2/1986,1/1/9999
77157,Tesuro,Nicolson,1/14/1965,Staff,6/1/1996,10/20/1999
77303,Xinglin,Birge,1/18/1965,Staff,3/5/1992,1/1/9999
77647,Niranjan,Schaaf,1/7/1965,Technique Leader,11/5/1989,1/1/9999
77815,Ronghao,Picaronny,1/21/1965,Engineer,6/9/1993,1/1/9999
78086,Fabrizio,Anick,1/20/1965,Staff,12/16/1997,5/2/1998
78106,Ashish,Ratnaker,1/9/1965,Senior Staff,1/17/2000,1/1/9999
78171,Teiji,Hinsberger,1/12/1965,Senior Staff,1/25/1997,5/18/2002
78363,Susumu,Fritzsche,1/3/1965,Engineer,6/23/1998,1/1/9999
78469,Leucio,Cappelli,1/28/1965,Staff,8/22/1997,1/1/9999
78871,Conor,Ghandeharizadeh,1/15/1965,Senior Engineer,5/25/1985,1/1/9999
79043,Katsuo,Hockney,1/24/1965,Technique Leader,11/7/1999,1/1/9999
79171,Guiseppe,Ellozy,1/19/1965,Senior Engineer,1/12/1991,1/1/9999
79190,Tsuneo,Servi,1/18/1965,Staff,6/30/1999,6/2/2001
79239,Denny,Griswold,1/7/1965,Senior Engineer,5/18/1989,11/19/2001
79310,Jeong,Cunliffe,1/24/1965,Senior Staff,10/27/1996,1/1/9999
79606,Arnd,Peir,1/3/1965,Senior Engineer,12/11/1986,1/1/9999
79640,Marl,Litzkow,1/26/1965,Staff,10/12/1991,10/22/1993
79722,Make,Remmers,1/17/1965,Staff,8/7/1997,8/8/1998
79763,Sanjoy,Barreiro,1/20/1965,Staff,4/9/1988,1/1/9999
79895,Fei,Murtagh,1/30/1965,Senior Staff,1/19/1986,1/1/9999
80067,Kazuhisa,Weiland,1/19/1965,Senior Staff,11/9/1985,1/1/9999
80203,Shakhar,Baik,1/22/1965,Staff,12/1/1993,1/1/9999
80432,Stella,Figueira,1/17/1965,Senior Staff,3/14/1990,1/1/9999
80656,Kwan,Gide,1/9/1965,Engineer,6/24/1998,7/1/2001
80731,Shaowen,Eldridge,1/25/1965,Senior Staff,12/5/1987,1/1/9999
80745,Rimli,Huttel,1/9/1965,Staff,12/14/1989,11/29/1996
80850,Koldo,Luit,2/1/1965,Senior Engineer,4/16/1995,1/1/9999
80889,Shigeo,Linnainmaa,1/7/1965,Senior Engineer,7/30/1985,1/1/9999
80948,Harjit,Bardell,1/27/1965,Senior Engineer,5/24/1991,1/1/9999
81105,Jaewon,Boissier,1/14/1965,Senior Engineer,5/24/1992,1/1/9999
81162,Marco,Klerer,1/28/1965,Engineer,2/28/1995,2/2/2001
81545,Larisa,Kornyak,1/13/1965,Technique Leader,3/10/1996,2/7/2000
81619,Gen,Aloisi,1/12/1965,Senior Engineer,3/12/1985,7/25/2002
81644,Divine,Ghandeharizadeh,1/5/1965,Staff,11/28/1997,1/1/9999
81995,Sreekrishna,Brender,1/10/1965,Engineer,3/22/1990,1/1/9999
82069,Yechezkel,Perfilyeva,1/20/1965,Senior Engineer,11/3/1994,1/1/9999
82098,Poornachandra,Wilharm,1/25/1965,Senior Engineer,4/20/1991,1/1/9999
82351,Stevo,Thambidurai,1/26/1965,Senior Staff,10/27/1989,1/1/9999
82511,Uwe,Koblick,1/27/1965,Engineer,4/4/1998,1/1/9999
82919,Shigeu,Claffy,1/5/1965,Engineer,12/19/1998,1/1/9999
82928,Alselm,Rikino,1/27/1965,Engineer,11/16/1990,1/1/9999
83280,Francesca,Ellozy,1/7/1965,Senior Engineer,8/8/1999,1/1/9999
83289,Shigeichiro,Engelmann,1/9/1965,Senior Engineer,1/9/1994,1/1/9999
83509,Breannda,Collavizza,1/4/1965,Engineer,10/12/1989,1/1/9999
83544,Leaf,Baak,1/18/1965,Senior Staff,9/5/1994,1/1/9999
83714,Ohad,Kilgore,1/27/1965,Senior Engineer,7/1/1990,10/10/2000
83805,Manohar,Harllee,1/23/1965,Senior Engineer,3/11/1987,1/1/9999
83922,Shunichi,Solovay,1/10/1965,Senior Engineer,6/7/1986,11/18/1998
83941,Zsolt,Hagimont,1/11/1965,Senior Staff,10/8/1996,1/1/9999
84029,Babette,Eugenio,1/27/1965,Staff,9/21/1997,1/1/9999
84163,Zejun,Roisin,1/11/1965,Senior Staff,5/26/1997,1/16/2002
84179,Shuichi,Nanard,1/25/1965,Senior Engineer,3/14/1989,1/1/9999
84236,Eberhardt,Barriga,1/18/1965,Staff,6/4/1987,1/1/9999
84256,Denny,Cheshire,1/25/1965,Staff,11/23/1989,8/8/1992
84315,Kristina,Baumann,1/23/1965,Assistant Engineer,9/26/1996,1/1/9999
84451,Shiv,Aumann,1/20/1965,Senior Engineer,6/14/1998,1/1/9999
84494,Janalee,Loncour,1/2/1965,Staff,4/12/1986,9/4/1987
84508,Tommaso,Vidya,1/17/1965,Engineer,5/2/1998,1/1/9999
84840,Sverrir,Neimat,1/14/1965,Staff,11/3/1996,1/1/9999
84922,Parke,Unno,1/22/1965,Engineer,7/1/1996,1/1/9999
84942,Shin,Fujisaki,1/15/1965,Technique Leader,2/23/1988,1/1/9999
85216,Ferdinand,Rosiles,1/18/1965,Senior Staff,7/8/1997,1/1/9999
85288,Younwoo,Luders,1/6/1965,Senior Engineer,12/8/1998,1/1/9999
85414,Chiradeep,Callaway,1/14/1965,Staff,7/30/1999,1/1/9999
85445,Yongdong,Pollock,1/9/1965,Staff,3/17/1998,1/1/9999
85702,Udi,Merks,1/4/1965,Engineer,8/15/1997,1/1/9999
85874,Pasqua,Taubman,1/30/1965,Senior Staff,6/23/1986,1/1/9999
86213,Kristine,Clemencon,1/28/1965,Staff,6/1/1993,1/1/9999
86324,Maia,Berstel,1/14/1965,Senior Engineer,7/17/1988,9/29/1997
86354,Ronghao,Segond,1/27/1965,Senior Engineer,9/13/1993,1/1/9999
86422,Jaewon,Thummel,2/1/1965,Staff,9/14/1985,1/1/9999
86546,Oldrich,Woycyznski,1/9/1965,Senior Engineer,5/15/1985,1/1/9999
86655,Zhenhua,Lorys,1/1/1965,Engineer,8/21/1995,1/1/9999
86672,JoAnne,Anido,1/15/1965,Staff,9/15/1995,1/1/9999
87129,Keung,Neiman,1/16/1965,Staff,4/13/1997,1/1/9999
87353,Quingbo,Coombs,1/7/1965,Senior Engineer,1/17/1999,1/1/9999
87458,Mikhail,Gimbel,1/26/1965,Senior Staff,12/22/1993,4/29/1999
87714,Khun,Janetzko,1/16/1965,Engineer,9/13/1989,1/1/9999
87729,Yongmin,Roccetti,1/24/1965,Staff,12/10/1986,1/1/9999
87783,Conor,Thorensen,1/26/1965,Senior Engineer,2/24/1988,1/1/9999
88103,Goo,Bresenham,1/9/1965,Senior Staff,1/31/1999,1/1/9999
88357,Manohar,Karcich,1/5/1965,Staff,8/7/1998,8/22/2000
88411,Lena,Cannane,1/31/1965,Engineer,1/28/2000,1/1/9999
88422,Jungsoon,Birsak,1/28/1965,Technique Leader,4/3/1985,1/1/9999
88647,Vasiliy,Ratnaker,1/10/1965,Engineer,8/9/1995,1/1/9999
88958,Vojin,Coombs,1/22/1965,Staff,7/23/1995,1/1/9999
88965,Mang,Hedayat,1/20/1965,Engineer,5/22/1995,1/1/9999
89048,Otmar,Birjandi,1/24/1965,Engineer,3/23/1985,1/1/9999
89090,Tetsushi,Theuretzbacher,1/26/1965,Staff,2/1/1990,1/1/9999
89161,Conal,Yetto,1/7/1965,Staff,1/12/1991,1/1/9999
89207,Along,Erol,1/15/1965,Senior Staff,10/16/1992,1/1/9999
89346,Mansur,Comyn,1/13/1965,Engineer,8/31/1999,1/1/9999
89487,Kazuhira,Seiwald,1/29/1965,Engineer,3/25/1995,3/24/1999
89590,Guther,Rothenberg,1/27/1965,Staff,8/8/1991,1/1/9999
89664,Pranjal,Rossi,1/20/1965,Staff,7/7/1998,1/1/9999
89680,Aiman,Mawatari,1/27/1965,Senior Engineer,5/1/1988,1/1/9999
89806,Xiadong,Shinomoto,1/27/1965,Senior Engineer,5/24/1997,1/1/9999
89922,Alexius,Ibel,1/26/1965,Senior Engineer,4/24/1988,1/1/9999
89941,Arnould,Weedman,1/23/1965,Senior Staff,7/28/1989,1/1/9999
90077,Vivian,Guerreiro,1/24/1965,Engineer,7/8/1991,1/1/9999
90084,Renny,Bale,1/1/1965,Senior Engineer,11/22/1989,1/1/9999
90116,Brigham,Luiz,1/11/1965,Assistant Engineer,4/10/1990,6/10/1995
90211,Bader,Denis,1/15/1965,Engineer,10/6/1997,1/1/9999
90292,Koichi,Assaf,1/9/1965,Senior Engineer,5/26/1990,1/1/9999
90366,Magy,Eiron,1/26/1965,Senior Staff,8/3/1998,3/3/2002
90518,Fumiko,Chepyzhov,1/24/1965,Staff,1/28/1988,1/1/9999
90614,Yonghoan,Trogemann,1/29/1965,Engineer,9/23/1988,1/1/9999
90692,Rajmohan,DasSarma,1/3/1965,Staff,9/14/1985,1/1/9999
91172,Kazuhisa,Melter,1/19/1965,Senior Staff,7/16/1987,1/1/9999
91182,Lucien,Schwartzburd,1/4/1965,Engineer,8/25/1988,1/1/9999
91229,Yahiko,Hebden,1/1/1965,Engineer,10/3/1996,1/1/9999
91256,Gunilla,Milicic,1/13/1965,Staff,1/9/1998,1/1/9999
91308,Remmert,Plumb,1/23/1965,Senior Engineer,6/14/1986,12/8/1995
91333,Lobel,Stafford,1/27/1965,Staff,11/29/1998,1/1/9999
91415,Jamaludin,Nilsson,1/4/1965,Senior Staff,1/15/1987,1/1/9999
91462,Siamak,Janocha,1/11/1965,Engineer,8/26/1997,3/21/1998
91648,Dmitry,Msuda,1/29/1965,Senior Staff,10/22/1988,1/1/9999
91934,Nikolaus,Swen,1/3/1965,Engineer,1/28/2000,7/3/2002
91973,Jianwen,Jakobus,1/25/1965,Senior Engineer,8/24/1998,2/12/2001
92438,Aria,Kilgore,1/4/1965,Senior Engineer,2/27/1989,4/11/1992
92443,Girolamo,Bellmore,1/1/1965,Senior Staff,12/4/1996,4/27/2000
92454,Visit,McFarlan,1/24/1965,Engineer,10/22/1987,1/1/9999
92577,Zhanqiu,Farrow,1/6/1965,Assistant Engineer,1/10/1999,1/1/9999
92598,Ranga,Merro,1/18/1965,Assistant Engineer,5/11/1996,1/1/9999
92685,Mang,Atchley,1/26/1965,Senior Staff,6/7/1995,1/1/9999
92841,Claude,Candan,1/22/1965,Senior Staff,8/4/1993,1/1/9999
92846,Anyuan,Kropatsch,1/11/1965,Senior Staff,9/5/1986,1/1/9999
92920,Huei,Hutter,1/20/1965,Engineer,1/28/1993,1/1/9999
93040,Jaques,Kabayashi,1/19/1965,Senior Engineer,3/13/1992,1/1/9999
93220,Richara,Walston,1/11/1965,Senior Engineer,8/27/1996,1/1/9999
93278,Magdalena,Penn,2/1/1965,Engineer,1/4/1997,1/1/9999
93549,Arie,Coullard,2/1/1965,Staff,4/15/1991,3/28/2000
93600,Kristina,Neimat,1/13/1965,Technique Leader,4/18/1988,1/1/9999
93794,Rimli,Werthner,1/23/1965,Engineer,5/27/1994,12/30/2000
94045,Gift,Brender,1/19/1965,Senior Engineer,10/31/1996,1/2/2000
94131,Bernardo,Vasanthakumar,1/29/1965,Staff,5/1/1997,7/20/1997
94331,Ramzi,Cronau,1/26/1965,Technique Leader,9/3/1999,1/1/9999
94416,Aran,Cesareni,1/1/1965,Senior Staff,11/20/2001,1/1/9999
94442,Bilhanan,Marrakchi,1/28/1965,Staff,2/3/1998,10/12/2000
94690,Kazuyasu,Sridhar,1/30/1965,Staff,12/22/1999,12/3/2001
94761,Hitofumi,Zaccaria,1/27/1965,Senior Engineer,11/22/1988,1/1/9999
94787,Shigenori,Stanfel,1/22/1965,Staff,4/25/1993,12/11/1999
94944,Heping,Matheson,1/13/1965,Engineer,6/24/1988,1/1/9999
95181,Yishai,Cappelli,1/28/1965,Staff,1/30/1997,1/1/9999
95286,Kristin,Guerreiro,1/18/1965,Senior Engineer,8/23/1989,1/1/9999
95314,Rasiah,Koblick,1/22/1965,Staff,8/21/1991,1/1/9999
95406,Alair,Lyonns,1/8/1965,Engineer,7/12/1997,1/1/9999
95416,Gianluca,Ramaiah,1/13/1965,Engineer,11/29/1993,1/1/9999
95509,Kristinn,Loncour,1/11/1965,Engineer,2/8/1995,1/1/9999
95692,Abdulah,Hofstetter,1/20/1965,Engineer,11/24/1999,5/24/2000
95920,Nobuyoshi,Hegner,1/19/1965,Senior Staff,9/7/1994,1/1/9999
96100,Pranay,Rebaine,1/11/1965,Senior Engineer,2/1/1998,12/31/2000
96571,Kokou,Garrabrants,1/13/1965,Senior Engineer,11/5/1997,1/1/9999
96579,Mohan,Tasistro,1/18/1965,Engineer,2/10/1996,1/1/9999
96767,Arumugam,Vecchio,1/7/1965,Senior Engineer,8/14/1985,1/1/9999
97018,Jeanna,Chinen,1/9/1965,Engineer,1/1/1989,1/1/9999
97092,Anwar,Riexinger,1/22/1965,Senior Engineer,12/31/1991,1/9/2000
97623,Haldon,Janetzko,1/25/1965,Staff,9/11/1990,1/1/9999
97661,Avishai,Hegner,1/31/1965,Staff,5/8/1993,1/1/9999
97697,Moie,Karunanithi,1/10/1965,Senior Engineer,2/7/1990,11/2/1994
98288,Sumali,Huttel,1/12/1965,Senior Staff,9/12/1989,1/1/9999
98306,Ziya,Kadhim,1/16/1965,Senior Engineer,6/24/1999,1/1/9999
98514,Giao,Junot,1/8/1965,Staff,7/1/1999,2/25/2002
98639,Florina,Assaf,1/29/1965,Staff,5/18/1996,1/1/9999
99057,Shugo,Reeken,1/30/1965,Staff,6/21/1999,1/1/9999
99373,Xiaobin,Christianini,1/13/1965,Senior Staff,12/25/1985,1/1/9999
99377,Carrsten,Francisci,1/18/1965,Senior Engineer,6/16/1991,1/1/9999
99590,Dhritiman,Anily,1/24/1965,Staff,12/16/1998,1/1/9999
99654,Mahendra,Motley,1/30/1965,Staff,9/28/1985,1/1/9999
100865,Hisao,Peral,1/19/1965,Engineer,10/3/1990,1/1/9999
100877,Kazuhide,Harnett,1/13/1965,Engineer,2/2/1995,2/13/1999
100916,Heejo,Aamodt,1/18/1965,Senior Engineer,4/22/1992,1/1/9999
101063,Nectarios,Munos,1/8/1965,Senior Engineer,8/31/1994,8/14/1995
101487,Abdelaziz,Sury,1/14/1965,Staff,1/31/1991,1/1/9999
101647,Mori,Homond,1/22/1965,Staff,5/10/1994,1/1/9999
101902,Mantis,Millington,1/14/1965,Staff,3/18/1991,1/1/9999
102620,Adin,Templeman,1/3/1965,Engineer,12/10/1997,8/12/1999
103166,Waiman,Dalton,1/9/1965,Engineer,5/25/1990,2/9/2002
103172,Doowon,Highland,1/5/1965,Engineer,3/8/1988,12/28/1989
103196,Djenana,Albarhamtoshy,1/16/1965,Senior Staff,7/16/1988,1/1/9999
103310,Visit,Swen,1/7/1965,Senior Staff,10/2/1995,1/1/9999
103316,Susanne,Peternell,1/3/1965,Senior Engineer,7/27/1994,1/1/9999
103342,Beshir,Hellwagner,1/3/1965,Engineer,2/3/1998,1/1/9999
103756,Heping,Halloran,1/31/1965,Engineer,4/8/1992,1/1/9999
104133,Pranjal,Zyda,1/31/1965,Senior Staff,7/3/1991,1/1/9999
104845,Werner,Lodder,1/29/1965,Staff,6/17/1992,1/1/9999
104962,Zongyan,Auyong,1/4/1965,Engineer,11/2/1987,12/22/1991
104988,Parviz,Litzler,1/7/1965,Senior Engineer,8/8/1992,1/1/9999
105191,Jaber,Kleiser,1/1/1965,Engineer,12/13/1986,9/22/1987
105342,Kwun,Reeker,1/1/1965,Technique Leader,7/29/1999,1/1/9999
105356,Diederik,Matzov,1/29/1965,Senior Engineer,3/8/1995,1/1/9999
105432,Mohamadou,Stafford,1/8/1965,Senior Engineer,9/12/1995,1/1/9999
105520,Haldun,Lienhardt,1/1/1965,Senior Staff,1/29/1987,1/1/9999
105589,Yechiam,Egerstedt,1/28/1965,Engineer,12/31/1995,7/18/1999
105731,Sachem,Cromarty,1/15/1965,Engineer,8/20/1990,1/1/9999
105936,Vidar,Thibadeau,1/23/1965,Staff,3/2/1995,9/15/1999
106096,Naftali,Schurmann,1/14/1965,Senior Engineer,12/2/1992,1/1/9999
106242,Nevio,Thisen,2/1/1965,Senior Staff,3/25/1988,1/1/9999
106514,Otilia,Speek,1/4/1965,Senior Engineer,7/30/1988,11/7/1992
106695,Lijie,Garrabrants,1/31/1965,Senior Staff,10/26/1988,1/1/9999
106710,Babette,Anandan,1/31/1965,Staff,11/22/1986,1/1/9999
106958,Horward,Begiun,1/24/1965,Senior Engineer,11/6/1985,5/22/2002
107486,Siamak,Luiz,1/23/1965,Senior Engineer,2/11/1987,1/1/9999
107737,Fabrizio,Chleq,1/23/1965,Senior Engineer,7/31/1999,1/1/9999
107792,Shahab,Crooks,1/13/1965,Senior Staff,3/18/1992,1/1/9999
107828,Ramya,Walston,1/26/1965,Staff,2/3/1989,1/1/9999
108091,Hisao,Ghemri,1/9/1965,Senior Staff,11/14/1985,1/1/9999
108198,Randi,Samarati,1/24/1965,Senior Staff,10/20/1992,1/1/9999
108316,Shai,Stellhorn,1/2/1965,Senior Engineer,5/21/1992,1/1/9999
108988,Oksana,Baek,1/19/1965,Staff,7/20/1989,1/1/9999
109062,Jamaludin,Kandlur,2/1/1965,Senior Engineer,6/19/1992,1/1/9999
109211,Gor,Delgrande,1/11/1965,Senior Engineer,6/18/2002,1/1/9999
109252,Moty,Winter,1/15/1965,Technique Leader,4/28/1991,1/1/9999
109278,Bangqing,Schach,1/21/1965,Staff,3/22/1988,1/1/9999
109547,Chenye,Zizka,1/4/1965,Staff,2/22/1986,4/21/2002
109552,Menkae,Etalle,1/31/1965,Engineer,5/21/1997,1/1/9999
109553,Xiaobin,DuBourdieux,1/19/1965,Staff,9/16/1985,5/11/1988
109598,Stamatina,Auyong,2/1/1965,Senior Staff,7/5/1988,1/1/9999
109611,Jamaludin,Lalonde,1/8/1965,Staff,7/9/1994,8/24/1998
109620,Mani,Cannata,1/2/1965,Staff,6/21/1989,1/1/9999
109652,Huan,Perko,1/25/1965,Senior Staff,7/31/1988,3/12/1999
109703,Arco,Walston,1/17/1965,Engineer,8/16/1999,1/1/9999
109741,Hatem,Fadgyas,1/11/1965,Senior Engineer,11/13/1991,1/1/9999
109953,Godehard,Chorvat,1/26/1965,Staff,4/10/1988,1/1/9999
200052,Slavian,Cincotta,1/27/1965,Senior Engineer,5/30/1992,7/7/1997
200176,Shahab,Luit,1/31/1965,Staff,11/20/1985,2/5/1997
200267,Chuanti,Luff,1/8/1965,Senior Staff,9/21/1994,1/1/9999
200312,Akemi,Fujisaki,1/27/1965,Senior Engineer,6/25/1998,11/13/2001
200363,Kirk,Quaggetto,1/10/1965,Senior Engineer,6/30/1987,1/1/9999
200735,Dinah,Denos,1/9/1965,Staff,9/21/1992,1/1/9999
200789,Susumu,Camurati,1/14/1965,Staff,12/15/1991,1/1/9999
201180,Odinaldo,Bridgland,1/15/1965,Assistant Engineer,6/9/1989,6/16/1995
201229,Alejandra,Khasidashvili,1/3/1965,Staff,7/30/1994,1/1/9999
201708,Anneli,Perl,1/15/1965,Senior Staff,9/8/1992,1/1/9999
201709,Fan,Kakkad,1/1/1965,Senior Staff,2/25/1988,1/1/9999
201739,Genta,Terekhov,1/16/1965,Assistant Engineer,7/21/1998,1/1/9999
201801,Waiman,Genin,1/12/1965,Senior Engineer,10/30/1988,1/1/9999
201915,Sudharsan,DeMori,1/2/1965,Senior Engineer,3/30/1992,1/1/9999
202031,Annemarie,Peternell,1/23/1965,Engineer,3/13/1994,6/5/1997
202291,Ortrun,Schmiedel,1/16/1965,Engineer,7/18/1997,1/1/9999
202403,Gully,Perko,1/9/1965,Engineer,7/7/1999,1/1/9999
202414,Zvonko,Murthy,1/13/1965,Senior Staff,1/7/1992,1/1/9999
202552,Morris,Saoudi,1/5/1965,Senior Engineer,11/22/1991,1/1/9999
202581,Dharmaraja,Merlo,1/19/1965,Staff,6/5/1987,12/16/1990
202826,Kerhong,Matzke,1/19/1965,Senior Engineer,11/14/1986,1/1/9999
202882,Isaac,Koshino,1/25/1965,Senior Engineer,9/28/1995,1/1/9999
202950,Giordano,Pietrzykowski,1/17/1965,Senior Staff,3/26/1987,1/1/9999
203474,Hugh,Jonsson,1/3/1965,Staff,7/6/1991,1/1/9999
203495,Zongyan,Gips,1/2/1965,Technique Leader,5/31/1997,1/1/9999
203599,Ewing,DiGiano,1/21/1965,Technique Leader,2/1/2000,1/1/9999
203697,Claude,Kemmerer,1/27/1965,Engineer,1/16/1994,5/7/2001
203720,Sasan,Thimonier,1/30/1965,Senior Staff,8/21/1996,1/1/9999
203946,Yefim,Marwedel,1/23/1965,Staff,3/30/1993,1/1/9999
204117,Jessie,Nooteboom,1/10/1965,Staff,12/13/2000,1/1/9999
204133,Susuma,Bergere,1/22/1965,Senior Staff,2/25/1996,1/1/9999
204246,Arve,Worfolk,1/9/1965,Staff,4/1/1985,1/1/9999
204425,Gretta,Huttel,1/3/1965,Senior Engineer,10/8/1990,1/1/9999
204470,Hein,Lichtner,1/22/1965,Staff,4/3/1995,5/2/1998
204471,Franziska,Maginnis,1/27/1965,Senior Engineer,2/17/1986,1/1/9999
204764,Susanne,Mandelberg,1/22/1965,Senior Engineer,11/2/1990,1/1/9999
205018,Yahiko,Awdeh,1/26/1965,Engineer,8/5/1998,1/1/9999
205085,Moni,Kornyak,1/23/1965,Technique Leader,9/26/1991,1/1/9999
205174,Leszek,Spinelli,1/5/1965,Staff,12/10/1998,1/1/9999
205362,Masasuke,Makinen,1/25/1965,Staff,7/2/1992,6/1/1997
205500,Mary,Setiz,1/4/1965,Senior Engineer,1/13/1989,1/1/9999
205627,Stabislas,Broder,1/21/1965,Senior Engineer,7/16/1996,1/1/9999
205660,Kien,Barreiro,1/27/1965,Staff,10/24/2000,1/1/9999
205699,Youjian,Yetto,1/31/1965,Staff,12/7/1994,1/1/9999
205789,Limsoon,Skafidas,1/31/1965,Senior Staff,8/10/1999,1/1/9999
205863,Aiichiro,Kusalik,1/6/1965,Senior Engineer,10/4/1990,1/1/9999
206372,Temple,Joslin,1/17/1965,Engineer,1/5/1993,11/14/1995
206748,Yucai,Fabrizio,1/7/1965,Staff,10/6/1999,1/1/9999
206836,Guadalupe,Pfau,1/12/1965,Senior Staff,3/22/1993,1/1/9999
206865,Vasilii,Cochrane,1/28/1965,Senior Engineer,9/13/1991,4/23/2001
206966,Tzu,Sichman,1/21/1965,Senior Engineer,11/17/1987,1/1/9999
207021,Jacqueline,Akaboshi,1/20/1965,Engineer,12/6/1997,1/1/9999
207068,Zhiguo,Ariola,1/13/1965,Senior Staff,9/7/1994,1/1/9999
207204,Kellie,Schrooten,1/25/1965,Assistant Engineer,1/17/1991,1/1/9999
